event_name,event_type,event_utc,may_split,variant,event_pnl_pct_unscaled,intratrade_mae_pct
CPI_Dec2024,CPI,2025-01-15 13:30,pre_may_2025,A_pre_long_60,2.4482,-0.0246
CPI_Dec2024,CPI,2025-01-15 13:30,pre_may_2025,B_pre_long_120,4.3242,-0.0246
CPI_Dec2024,CPI,2025-01-15 13:30,pre_may_2025,C_momentum_60,0.853,-0.1941
CPI_Dec2024,CPI,2025-01-15 13:30,pre_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_Dec2024,CPI,2025-01-15 13:30,pre_may_2025,E_best_straddle,1.25,
FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,2025-01-29 19:30,pre_may_2025,A_pre_long_60,3.0849,-0.4562
FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,2025-01-29 19:30,pre_may_2025,B_pre_long_120,2.66,-0.4562
FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,2025-01-29 19:30,pre_may_2025,C_momentum_60,3.0595,-0.1242
FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,2025-01-29 19:30,pre_may_2025,D_straddle_TP1.5_SL1.0,0.25,
FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,2025-01-29 19:30,pre_may_2025,E_best_straddle,1.25,
CPI_Jan2025,CPI,2025-02-12 13:30,pre_may_2025,A_pre_long_60,-2.88,-3.5706
CPI_Jan2025,CPI,2025-02-12 13:30,pre_may_2025,B_pre_long_120,-1.825,-3.904
CPI_Jan2025,CPI,2025-02-12 13:30,pre_may_2025,C_momentum_60,2.1793,-0.1552
CPI_Jan2025,CPI,2025-02-12 13:30,pre_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_Jan2025,CPI,2025-02-12 13:30,pre_may_2025,E_best_straddle,-0.5,
CPI_Feb2025,CPI,2025-03-12 12:30,pre_may_2025,A_pre_long_60,-0.3573,-0.7151
CPI_Feb2025,CPI,2025-03-12 12:30,pre_may_2025,B_pre_long_120,-1.9688,-2.1078
CPI_Feb2025,CPI,2025-03-12 12:30,pre_may_2025,C_momentum_60,-1.6089,-1.8953
CPI_Feb2025,CPI,2025-03-12 12:30,pre_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_Feb2025,CPI,2025-03-12 12:30,pre_may_2025,E_best_straddle,-0.5,
FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,2025-03-19 18:30,pre_may_2025,A_pre_long_60,-0.0543,-0.496
FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,2025-03-19 18:30,pre_may_2025,B_pre_long_120,0.8725,-0.496
FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,2025-03-19 18:30,pre_may_2025,C_momentum_60,0.1984,-0.1747
FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,2025-03-19 18:30,pre_may_2025,D_straddle_TP1.5_SL1.0,-0.1193,
FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,2025-03-19 18:30,pre_may_2025,E_best_straddle,0.1307,
CPI_Mar2025,CPI,2025-04-10 12:30,pre_may_2025,A_pre_long_60,-0.7382,-1.1701
CPI_Mar2025,CPI,2025-04-10 12:30,pre_may_2025,B_pre_long_120,-1.8996,-2.8028
CPI_Mar2025,CPI,2025-04-10 12:30,pre_may_2025,C_momentum_60,-1.552,-3.8093
CPI_Mar2025,CPI,2025-04-10 12:30,pre_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_Mar2025,CPI,2025-04-10 12:30,pre_may_2025,E_best_straddle,-0.5,
FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,2025-05-07 18:30,post_may_2025,A_pre_long_60,-0.5768,-0.7328
FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,2025-05-07 18:30,post_may_2025,B_pre_long_120,-0.372,-0.8439
FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,2025-05-07 18:30,post_may_2025,C_momentum_60,0.3816,-0.8909
FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,2025-05-07 18:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.0,
FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,2025-05-07 18:30,post_may_2025,E_best_straddle,-0.5,
CPI_Apr2025,CPI,2025-05-13 12:30,post_may_2025,A_pre_long_60,1.7732,-0.3506
CPI_Apr2025,CPI,2025-05-13 12:30,post_may_2025,B_pre_long_120,2.0793,-0.3506
CPI_Apr2025,CPI,2025-05-13 12:30,post_may_2025,C_momentum_60,1.1856,-0.2721
CPI_Apr2025,CPI,2025-05-13 12:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_Apr2025,CPI,2025-05-13 12:30,post_may_2025,E_best_straddle,0.7344,
CPI_May2025,CPI,2025-06-11 12:30,post_may_2025,A_pre_long_60,1.6695,-0.247
CPI_May2025,CPI,2025-06-11 12:30,post_may_2025,B_pre_long_120,2.6198,-0.247
CPI_May2025,CPI,2025-06-11 12:30,post_may_2025,C_momentum_60,0.5884,-0.1887
CPI_May2025,CPI,2025-06-11 12:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_May2025,CPI,2025-06-11 12:30,post_may_2025,E_best_straddle,0.9835,
FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,2025-06-18 18:30,post_may_2025,A_pre_long_60,-0.0105,-0.7183
FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,2025-06-18 18:30,post_may_2025,B_pre_long_120,0.6037,-0.7183
FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,2025-06-18 18:30,post_may_2025,C_momentum_60,0.1015,-0.6897
FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,2025-06-18 18:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.0,
FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,2025-06-18 18:30,post_may_2025,E_best_straddle,-0.5,
CPI_Jun2025,CPI,2025-07-15 12:30,post_may_2025,A_pre_long_60,1.8025,-0.3343
CPI_Jun2025,CPI,2025-07-15 12:30,post_may_2025,B_pre_long_120,2.3619,-0.3343
CPI_Jun2025,CPI,2025-07-15 12:30,post_may_2025,C_momentum_60,1.07,-0.9053
CPI_Jun2025,CPI,2025-07-15 12:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_Jun2025,CPI,2025-07-15 12:30,post_may_2025,E_best_straddle,1.25,
FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,2025-07-30 18:30,post_may_2025,A_pre_long_60,-2.276,-3.5895
FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,2025-07-30 18:30,post_may_2025,B_pre_long_120,-1.0342,-3.5895
FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,2025-07-30 18:30,post_may_2025,C_momentum_60,2.0461,-0.3107
FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,2025-07-30 18:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,2025-07-30 18:30,post_may_2025,E_best_straddle,1.25,
CPI_Jul2025,CPI,2025-08-12 12:30,post_may_2025,A_pre_long_60,3.244,-0.0902
CPI_Jul2025,CPI,2025-08-12 12:30,post_may_2025,B_pre_long_120,2.9213,-0.0902
CPI_Jul2025,CPI,2025-08-12 12:30,post_may_2025,C_momentum_60,1.5816,-0.1645
CPI_Jul2025,CPI,2025-08-12 12:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_Jul2025,CPI,2025-08-12 12:30,post_may_2025,E_best_straddle,1.25,
Powell_Jackson_Hole,JACKSON_HOLE,2025-08-22 14:00,post_may_2025,A_pre_long_60,7.1518,-0.6468
Powell_Jackson_Hole,JACKSON_HOLE,2025-08-22 14:00,post_may_2025,B_pre_long_120,7.2015,-0.6468
Powell_Jackson_Hole,JACKSON_HOLE,2025-08-22 14:00,post_may_2025,C_momentum_60,5.5836,-0.1758
Powell_Jackson_Hole,JACKSON_HOLE,2025-08-22 14:00,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
Powell_Jackson_Hole,JACKSON_HOLE,2025-08-22 14:00,post_may_2025,E_best_straddle,-0.5,
CPI_Aug2025,CPI,2025-09-11 12:30,post_may_2025,A_pre_long_60,-0.8815,-2.6076
CPI_Aug2025,CPI,2025-09-11 12:30,post_may_2025,B_pre_long_120,-0.8561,-2.6076
CPI_Aug2025,CPI,2025-09-11 12:30,post_may_2025,C_momentum_60,-0.5468,-1.2977
CPI_Aug2025,CPI,2025-09-11 12:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_Aug2025,CPI,2025-09-11 12:30,post_may_2025,E_best_straddle,-0.5,
FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,2025-09-17 18:30,post_may_2025,A_pre_long_60,0.6861,-1.1633
FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,2025-09-17 18:30,post_may_2025,B_pre_long_120,0.847,-1.1633
FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,2025-09-17 18:30,post_may_2025,C_momentum_60,-0.3043,-0.7359
FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,2025-09-17 18:30,post_may_2025,D_straddle_TP1.5_SL1.0,-1.0,
FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,2025-09-17 18:30,post_may_2025,E_best_straddle,-0.5,
CPI_Sep2025_Delayed,CPI,2025-10-24 12:30,post_may_2025,A_pre_long_60,0.5748,-0.0705
CPI_Sep2025_Delayed,CPI,2025-10-24 12:30,post_may_2025,B_pre_long_120,-0.9906,-1.259
CPI_Sep2025_Delayed,CPI,2025-10-24 12:30,post_may_2025,C_momentum_60,-0.7386,-1.1076
CPI_Sep2025_Delayed,CPI,2025-10-24 12:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_Sep2025_Delayed,CPI,2025-10-24 12:30,post_may_2025,E_best_straddle,-0.5,
FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,2025-10-29 18:30,post_may_2025,A_pre_long_60,-1.7154,-3.9932
FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,2025-10-29 18:30,post_may_2025,B_pre_long_120,-1.5425,-3.9932
FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,2025-10-29 18:30,post_may_2025,C_momentum_60,1.5883,-0.3916
FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,2025-10-29 18:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,2025-10-29 18:30,post_may_2025,E_best_straddle,1.25,
FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,2025-12-10 19:30,post_may_2025,A_pre_long_60,0.2977,-0.9152
FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,2025-12-10 19:30,post_may_2025,B_pre_long_120,-0.9993,-1.8104
FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,2025-12-10 19:30,post_may_2025,C_momentum_60,0.7386,-0.6232
FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,2025-12-10 19:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,2025-12-10 19:30,post_may_2025,E_best_straddle,-0.5,
CPI_Nov2025_Delayed,CPI,2025-12-18 13:30,post_may_2025,A_pre_long_60,2.4039,-0.242
CPI_Nov2025_Delayed,CPI,2025-12-18 13:30,post_may_2025,B_pre_long_120,2.7666,-0.242
CPI_Nov2025_Delayed,CPI,2025-12-18 13:30,post_may_2025,C_momentum_60,2.1601,-0.4681
CPI_Nov2025_Delayed,CPI,2025-12-18 13:30,post_may_2025,D_straddle_TP1.5_SL1.0,0.25,
CPI_Nov2025_Delayed,CPI,2025-12-18 13:30,post_may_2025,E_best_straddle,1.25,
