anchor,event_name,side,exit_offset_min,entry_price,exit_price,pnl_pct,pnl_pct_after_fees
A_statement_1400ET,FOMC_Jan,long,15,3120.01,3088.88,-0.997753,-0.997753
A_statement_1400ET,FOMC_Jan,long,30,3120.01,3057.79,-1.994224,-1.994224
A_statement_1400ET,FOMC_Jan,long,60,3120.01,3125.08,0.162499,0.162499
A_statement_1400ET,FOMC_Jan,long,120,3120.01,3134.6,0.467627,0.467627
A_statement_1400ET,FOMC_Jan,short,15,3120.01,3088.88,0.997753,0.997753
A_statement_1400ET,FOMC_Jan,short,30,3120.01,3057.79,1.994224,1.994224
A_statement_1400ET,FOMC_Jan,short,60,3120.01,3125.08,-0.162499,-0.162499
A_statement_1400ET,FOMC_Jan,short,120,3120.01,3134.6,-0.467627,-0.467627
A_statement_1400ET,FOMC_Mar,long,15,2018.0,2027.5,0.470763,0.470763
A_statement_1400ET,FOMC_Mar,long,30,2018.0,2016.6,-0.069376,-0.069376
A_statement_1400ET,FOMC_Mar,long,60,2018.0,2044.79,1.327552,1.327552
A_statement_1400ET,FOMC_Mar,long,120,2018.0,2029.91,0.590188,0.590188
A_statement_1400ET,FOMC_Mar,short,15,2018.0,2027.5,-0.470763,-0.470763
A_statement_1400ET,FOMC_Mar,short,30,2018.0,2016.6,0.069376,0.069376
A_statement_1400ET,FOMC_Mar,short,60,2018.0,2044.79,-1.327552,-1.327552
A_statement_1400ET,FOMC_Mar,short,120,2018.0,2029.91,-0.590188,-0.590188
A_statement_1400ET,FOMC_May,long,15,1807.07,1795.0,-0.667932,-0.667932
A_statement_1400ET,FOMC_May,long,30,1807.07,1801.17,-0.326495,-0.326495
A_statement_1400ET,FOMC_May,long,60,1807.07,1805.57,-0.083007,-0.083007
A_statement_1400ET,FOMC_May,long,120,1807.07,1795.07,-0.664058,-0.664058
A_statement_1400ET,FOMC_May,short,15,1807.07,1795.0,0.667932,0.667932
A_statement_1400ET,FOMC_May,short,30,1807.07,1801.17,0.326495,0.326495
A_statement_1400ET,FOMC_May,short,60,1807.07,1805.57,0.083007,0.083007
A_statement_1400ET,FOMC_May,short,120,1807.07,1795.07,0.664058,0.664058
A_statement_1400ET,FOMC_Jun,long,15,2485.08,2491.06,0.240636,0.240636
A_statement_1400ET,FOMC_Jun,long,30,2485.08,2493.72,0.347675,0.347675
A_statement_1400ET,FOMC_Jun,long,60,2485.08,2474.2,-0.437813,-0.437813
A_statement_1400ET,FOMC_Jun,long,120,2485.08,2491.25,0.248282,0.248282
A_statement_1400ET,FOMC_Jun,short,15,2485.08,2491.06,-0.240636,-0.240636
A_statement_1400ET,FOMC_Jun,short,30,2485.08,2493.72,-0.347675,-0.347675
A_statement_1400ET,FOMC_Jun,short,60,2485.08,2474.2,0.437813,0.437813
A_statement_1400ET,FOMC_Jun,short,120,2485.08,2491.25,-0.248282,-0.248282
A_statement_1400ET,FOMC_Jul,long,15,3800.43,3797.9,-0.066571,-0.066571
A_statement_1400ET,FOMC_Jul,long,30,3800.43,3806.04,0.147615,0.147615
A_statement_1400ET,FOMC_Jul,long,60,3800.43,3736.39,-1.685072,-1.685072
A_statement_1400ET,FOMC_Jul,long,120,3800.43,3758.69,-1.098297,-1.098297
A_statement_1400ET,FOMC_Jul,short,15,3800.43,3797.9,0.066571,0.066571
A_statement_1400ET,FOMC_Jul,short,30,3800.43,3806.04,-0.147615,-0.147615
A_statement_1400ET,FOMC_Jul,short,60,3800.43,3736.39,1.685072,1.685072
A_statement_1400ET,FOMC_Jul,short,120,3800.43,3758.69,1.098297,1.098297
A_statement_1400ET,FOMC_Sep,long,15,4507.32,4455.07,-1.159225,-1.159225
A_statement_1400ET,FOMC_Sep,long,30,4507.32,4495.28,-0.267121,-0.267121
A_statement_1400ET,FOMC_Sep,long,60,4507.32,4454.29,-1.176531,-1.176531
A_statement_1400ET,FOMC_Sep,long,120,4507.32,4515.14,0.173496,0.173496
A_statement_1400ET,FOMC_Sep,short,15,4507.32,4455.07,1.159225,1.159225
A_statement_1400ET,FOMC_Sep,short,30,4507.32,4495.28,0.267121,0.267121
A_statement_1400ET,FOMC_Sep,short,60,4507.32,4454.29,1.176531,1.176531
A_statement_1400ET,FOMC_Sep,short,120,4507.32,4515.14,-0.173496,-0.173496
A_statement_1400ET,FOMC_Oct,long,15,4003.9,3981.0,-0.571942,-0.571942
A_statement_1400ET,FOMC_Oct,long,30,4003.9,3990.55,-0.333425,-0.333425
A_statement_1400ET,FOMC_Oct,long,60,4003.9,3915.29,-2.213092,-2.213092
A_statement_1400ET,FOMC_Oct,long,120,4003.9,3903.54,-2.506556,-2.506556
A_statement_1400ET,FOMC_Oct,short,15,4003.9,3981.0,0.571942,0.571942
A_statement_1400ET,FOMC_Oct,short,30,4003.9,3990.55,0.333425,0.333425
A_statement_1400ET,FOMC_Oct,short,60,4003.9,3915.29,2.213092,2.213092
A_statement_1400ET,FOMC_Oct,short,120,4003.9,3903.54,2.506556,2.506556
A_statement_1400ET,FOMC_Dec,long,15,3403.61,3397.23,-0.187448,-0.187448
A_statement_1400ET,FOMC_Dec,long,30,3403.61,3374.62,-0.851743,-0.851743
A_statement_1400ET,FOMC_Dec,long,60,3403.61,3388.98,-0.429838,-0.429838
A_statement_1400ET,FOMC_Dec,long,120,3403.61,3354.17,-1.452575,-1.452575
A_statement_1400ET,FOMC_Dec,short,15,3403.61,3397.23,0.187448,0.187448
A_statement_1400ET,FOMC_Dec,short,30,3403.61,3374.62,0.851743,0.851743
A_statement_1400ET,FOMC_Dec,short,60,3403.61,3388.98,0.429838,0.429838
A_statement_1400ET,FOMC_Dec,short,120,3403.61,3354.17,1.452575,1.452575
B_pressconf_1430ET,FOMC_Jan,long,15,3066.87,3133.65,2.177464,2.177464
B_pressconf_1430ET,FOMC_Jan,long,30,3066.87,3125.08,1.898026,1.898026
B_pressconf_1430ET,FOMC_Jan,long,60,3066.87,3161.48,3.084904,3.084904
B_pressconf_1430ET,FOMC_Jan,long,120,3066.87,3148.45,2.660041,2.660041
B_pressconf_1430ET,FOMC_Jan,short,15,3066.87,3133.65,-2.177464,-2.177464
B_pressconf_1430ET,FOMC_Jan,short,30,3066.87,3125.08,-1.898026,-1.898026
B_pressconf_1430ET,FOMC_Jan,short,60,3066.87,3161.48,-3.084904,-3.084904
B_pressconf_1430ET,FOMC_Jan,short,120,3066.87,3148.45,-2.660041,-2.660041
B_pressconf_1430ET,FOMC_Mar,long,15,2024.16,2025.91,0.086456,0.086456
B_pressconf_1430ET,FOMC_Mar,long,30,2024.16,2044.79,1.019188,1.019188
B_pressconf_1430ET,FOMC_Mar,long,60,2024.16,2023.06,-0.054344,-0.054344
B_pressconf_1430ET,FOMC_Mar,long,120,2024.16,2041.82,0.872461,0.872461
B_pressconf_1430ET,FOMC_Mar,short,15,2024.16,2025.91,-0.086456,-0.086456
B_pressconf_1430ET,FOMC_Mar,short,30,2024.16,2044.79,-1.019188,-1.019188
B_pressconf_1430ET,FOMC_Mar,short,60,2024.16,2023.06,0.054344,0.054344
B_pressconf_1430ET,FOMC_Mar,short,120,2024.16,2041.82,-0.872461,-0.872461
B_pressconf_1430ET,FOMC_May,long,15,1801.2,1803.06,0.103264,0.103264
B_pressconf_1430ET,FOMC_May,long,30,1801.2,1805.57,0.242616,0.242616
B_pressconf_1430ET,FOMC_May,long,60,1801.2,1790.81,-0.576838,-0.576838
B_pressconf_1430ET,FOMC_May,long,120,1801.2,1794.5,-0.371974,-0.371974
B_pressconf_1430ET,FOMC_May,short,15,1801.2,1803.06,-0.103264,-0.103264
B_pressconf_1430ET,FOMC_May,short,30,1801.2,1805.57,-0.242616,-0.242616
B_pressconf_1430ET,FOMC_May,short,60,1801.2,1790.81,0.576838,0.576838
B_pressconf_1430ET,FOMC_May,short,120,1801.2,1794.5,0.371974,0.371974
B_pressconf_1430ET,FOMC_Jun,long,15,2487.87,2498.01,0.407578,0.407578
B_pressconf_1430ET,FOMC_Jun,long,30,2487.87,2474.2,-0.549466,-0.549466
B_pressconf_1430ET,FOMC_Jun,long,60,2487.87,2487.61,-0.010451,-0.010451
B_pressconf_1430ET,FOMC_Jun,long,120,2487.87,2502.89,0.603729,0.603729
B_pressconf_1430ET,FOMC_Jun,short,15,2487.87,2498.01,-0.407578,-0.407578
B_pressconf_1430ET,FOMC_Jun,short,30,2487.87,2474.2,0.549466,0.549466
B_pressconf_1430ET,FOMC_Jun,short,60,2487.87,2487.61,0.010451,0.010451
B_pressconf_1430ET,FOMC_Jun,short,120,2487.87,2502.89,-0.603729,-0.603729
B_pressconf_1430ET,FOMC_Jul,long,15,3806.64,3791.2,-0.405607,-0.405607
B_pressconf_1430ET,FOMC_Jul,long,30,3806.64,3736.39,-1.84546,-1.84546
B_pressconf_1430ET,FOMC_Jul,long,60,3806.64,3720.0,-2.276023,-2.276023
B_pressconf_1430ET,FOMC_Jul,long,120,3806.64,3767.27,-1.034245,-1.034245
B_pressconf_1430ET,FOMC_Jul,short,15,3806.64,3791.2,0.405607,0.405607
B_pressconf_1430ET,FOMC_Jul,short,30,3806.64,3736.39,1.84546,1.84546
B_pressconf_1430ET,FOMC_Jul,short,60,3806.64,3720.0,2.276023,2.276023
B_pressconf_1430ET,FOMC_Jul,short,120,3806.64,3767.27,1.034245,1.034245
B_pressconf_1430ET,FOMC_Sep,long,15,4474.53,4440.19,-0.767455,-0.767455
B_pressconf_1430ET,FOMC_Sep,long,30,4474.53,4454.29,-0.452338,-0.452338
B_pressconf_1430ET,FOMC_Sep,long,60,4474.53,4505.23,0.686106,0.686106
B_pressconf_1430ET,FOMC_Sep,long,120,4474.53,4512.43,0.847016,0.847016
B_pressconf_1430ET,FOMC_Sep,short,15,4474.53,4440.19,0.767455,0.767455
B_pressconf_1430ET,FOMC_Sep,short,30,4474.53,4454.29,0.452338,0.452338
B_pressconf_1430ET,FOMC_Sep,short,60,4474.53,4505.23,-0.686106,-0.686106
B_pressconf_1430ET,FOMC_Sep,short,120,4474.53,4512.43,-0.847016,-0.847016
B_pressconf_1430ET,FOMC_Oct,long,15,3995.55,3861.09,-3.365244,-3.365244
B_pressconf_1430ET,FOMC_Oct,long,30,3995.55,3915.29,-2.008735,-2.008735
B_pressconf_1430ET,FOMC_Oct,long,60,3995.55,3927.01,-1.715408,-1.715408
B_pressconf_1430ET,FOMC_Oct,long,120,3995.55,3933.92,-1.542466,-1.542466
B_pressconf_1430ET,FOMC_Oct,short,15,3995.55,3861.09,3.365244,3.365244
B_pressconf_1430ET,FOMC_Oct,short,30,3995.55,3915.29,2.008735,2.008735
B_pressconf_1430ET,FOMC_Oct,short,60,3995.55,3927.01,1.715408,1.715408
B_pressconf_1430ET,FOMC_Oct,short,120,3995.55,3933.92,1.542466,1.542466
B_pressconf_1430ET,FOMC_Dec,long,15,3389.36,3364.95,-0.720195,-0.720195
B_pressconf_1430ET,FOMC_Dec,long,30,3389.36,3388.98,-0.011212,-0.011212
B_pressconf_1430ET,FOMC_Dec,long,60,3389.36,3399.45,0.297696,0.297696
B_pressconf_1430ET,FOMC_Dec,long,120,3389.36,3355.49,-0.999304,-0.999304
B_pressconf_1430ET,FOMC_Dec,short,15,3389.36,3364.95,0.720195,0.720195
B_pressconf_1430ET,FOMC_Dec,short,30,3389.36,3388.98,0.011212,0.011212
B_pressconf_1430ET,FOMC_Dec,short,60,3389.36,3399.45,-0.297696,-0.297696
B_pressconf_1430ET,FOMC_Dec,short,120,3389.36,3355.49,0.999304,0.999304
