event_name,tp_pct,sl_pct,long_exit_reason,short_exit_reason,first_side_to_hit,long_pnl_pct,short_pnl_pct,combined_pnl_pct,combined_pnl_pct_after_fees,long_mfe_pct,long_mae_pct,short_mfe_pct,short_mae_pct,ambiguous_bar,anchor
FOMC_Jan,0.5,0.5,sl,tp,short,-0.5,0.5,0.0,0.0,0.453204,-0.638459,0.638459,-0.453204,False,A_statement_1400ET
FOMC_Jan,0.5,1.0,sl,tp,short,-1.0,0.5,-0.5,-0.5,0.453204,-1.218265,0.638459,-0.453204,False,A_statement_1400ET
FOMC_Jan,0.5,1.5,sl,tp,short,-1.5,0.5,-1.0,-1.0,0.453204,-1.72211,0.638459,-0.453204,False,A_statement_1400ET
FOMC_Jan,0.5,2.0,sl,tp,short,-2.0,0.5,-1.5,-1.5,0.453204,-2.151596,0.638459,-0.453204,False,A_statement_1400ET
FOMC_Jan,1.0,0.5,sl,tp,short,-0.5,1.0,0.5,0.5,0.453204,-0.638459,1.218265,-0.453204,False,A_statement_1400ET
FOMC_Jan,1.0,1.0,sl,tp,short,-1.0,1.0,0.0,0.0,0.453204,-1.218265,1.218265,-0.453204,False,A_statement_1400ET
FOMC_Jan,1.0,1.5,sl,tp,short,-1.5,1.0,-0.5,-0.5,0.453204,-1.72211,1.218265,-0.453204,False,A_statement_1400ET
FOMC_Jan,1.0,2.0,sl,tp,short,-2.0,1.0,-1.0,-1.0,0.453204,-2.151596,1.218265,-0.453204,False,A_statement_1400ET
FOMC_Jan,1.5,0.5,sl,tp,short,-0.5,1.5,1.0,1.0,0.453204,-0.638459,1.72211,-0.453204,False,A_statement_1400ET
FOMC_Jan,1.5,1.0,sl,tp,short,-1.0,1.5,0.5,0.5,0.453204,-1.218265,1.72211,-0.453204,False,A_statement_1400ET
FOMC_Jan,1.5,1.5,sl,tp,short,-1.5,1.5,0.0,0.0,0.453204,-1.72211,1.72211,-0.453204,False,A_statement_1400ET
FOMC_Jan,1.5,2.0,sl,tp,short,-2.0,1.5,-0.5,-0.5,0.453204,-2.151596,1.72211,-0.453204,False,A_statement_1400ET
FOMC_Jan,2.0,0.5,sl,tp,short,-0.5,2.0,1.5,1.5,0.453204,-0.638459,2.151596,-0.453204,False,A_statement_1400ET
FOMC_Jan,2.0,1.0,sl,tp,short,-1.0,2.0,1.0,1.0,0.453204,-1.218265,2.151596,-0.453204,False,A_statement_1400ET
FOMC_Jan,2.0,1.5,sl,tp,short,-1.5,2.0,0.5,0.5,0.453204,-1.72211,2.151596,-0.453204,False,A_statement_1400ET
FOMC_Jan,2.0,2.0,sl,tp,short,-2.0,2.0,0.0,0.0,0.453204,-2.151596,2.151596,-0.453204,False,A_statement_1400ET
FOMC_Jan,3.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,0.453204,-0.638459,2.151596,-0.915702,False,A_statement_1400ET
FOMC_Jan,3.0,1.0,sl,sl,none,-1.0,-1.0,-2.0,-2.0,0.453204,-1.218265,2.151596,-1.086855,False,A_statement_1400ET
FOMC_Jan,3.0,1.5,sl,sl,none,-1.5,-1.5,-3.0,-3.0,0.453204,-1.72211,2.151596,-1.78461,False,A_statement_1400ET
FOMC_Jan,3.0,2.0,sl,timeout,none,-2.0,-0.455127,-2.455127,-2.455127,0.453204,-2.151596,2.151596,-1.952558,False,A_statement_1400ET
FOMC_Mar,0.5,0.5,tp,sl,long,0.5,-0.5,0.0,0.0,0.587215,-0.00446,0.00446,-0.587215,False,A_statement_1400ET
FOMC_Mar,0.5,1.0,tp,sl,long,0.5,-1.0,-0.5,-0.5,0.587215,-0.00446,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,0.5,1.5,tp,sl,long,0.5,-1.5,-1.0,-1.0,0.587215,-0.00446,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,0.5,2.0,tp,sl,long,0.5,-2.0,-1.5,-1.5,0.587215,-0.00446,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,1.0,0.5,tp,sl,long,1.0,-0.5,0.5,0.5,2.373637,-0.190287,0.00446,-0.587215,False,A_statement_1400ET
FOMC_Mar,1.0,1.0,tp,sl,long,1.0,-1.0,0.0,0.0,2.373637,-0.190287,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,1.0,1.5,tp,sl,long,1.0,-1.5,-0.5,-0.5,2.373637,-0.190287,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,1.0,2.0,tp,sl,long,1.0,-2.0,-1.0,-1.0,2.373637,-0.190287,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,1.5,0.5,tp,sl,long,1.5,-0.5,1.0,1.0,2.373637,-0.190287,0.00446,-0.587215,False,A_statement_1400ET
FOMC_Mar,1.5,1.0,tp,sl,long,1.5,-1.0,0.5,0.5,2.373637,-0.190287,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,1.5,1.5,tp,sl,long,1.5,-1.5,0.0,0.0,2.373637,-0.190287,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,1.5,2.0,tp,sl,long,1.5,-2.0,-0.5,-0.5,2.373637,-0.190287,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,2.0,0.5,tp,sl,long,2.0,-0.5,1.5,1.5,2.373637,-0.190287,0.00446,-0.587215,False,A_statement_1400ET
FOMC_Mar,2.0,1.0,tp,sl,long,2.0,-1.0,1.0,1.0,2.373637,-0.190287,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,2.0,1.5,tp,sl,long,2.0,-1.5,0.5,0.5,2.373637,-0.190287,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,2.0,2.0,tp,sl,long,2.0,-2.0,0.0,0.0,2.373637,-0.190287,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,3.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,2.373637,-0.767592,0.00446,-0.587215,False,A_statement_1400ET
FOMC_Mar,3.0,1.0,sl,sl,none,-1.0,-1.0,-2.0,-2.0,2.373637,-1.181368,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,3.0,1.5,timeout,sl,none,0.618434,-1.5,-0.881566,-0.881566,2.373637,-1.181368,0.190287,-2.373637,False,A_statement_1400ET
FOMC_Mar,3.0,2.0,timeout,sl,none,0.618434,-2.0,-1.381566,-1.381566,2.373637,-1.181368,0.190287,-2.373637,False,A_statement_1400ET
FOMC_May,0.5,0.5,sl,tp,short,-0.5,0.5,0.0,0.0,0.058105,-0.822326,0.822326,-0.058105,False,A_statement_1400ET
FOMC_May,0.5,1.0,sl,tp,short,-1.0,0.5,-0.5,-0.5,0.058105,-1.082969,0.822326,-0.058105,False,A_statement_1400ET
FOMC_May,0.5,1.5,tp,tp,short,0.5,0.5,1.0,1.0,0.524606,-1.082969,0.822326,-0.058105,False,A_statement_1400ET
FOMC_May,0.5,2.0,tp,tp,short,0.5,0.5,1.0,1.0,0.524606,-1.082969,0.822326,-0.058105,False,A_statement_1400ET
FOMC_May,1.0,0.5,sl,tp,short,-0.5,1.0,0.5,0.5,0.058105,-0.822326,1.082969,-0.058105,False,A_statement_1400ET
FOMC_May,1.0,1.0,sl,tp,short,-1.0,1.0,0.0,0.0,0.058105,-1.082969,1.082969,-0.058105,False,A_statement_1400ET
FOMC_May,1.0,1.5,timeout,tp,short,-0.629749,1.0,0.370251,0.370251,0.524606,-1.165976,1.082969,-0.058105,False,A_statement_1400ET
FOMC_May,1.0,2.0,timeout,tp,short,-0.629749,1.0,0.370251,0.370251,0.524606,-1.165976,1.082969,-0.058105,False,A_statement_1400ET
FOMC_May,1.5,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,0.058105,-0.822326,1.082969,-0.524606,False,A_statement_1400ET
FOMC_May,1.5,1.0,sl,timeout,none,-1.0,0.629749,-0.370251,-0.370251,0.058105,-1.082969,1.165976,-0.524606,False,A_statement_1400ET
FOMC_May,1.5,1.5,timeout,timeout,none,-0.629749,0.629749,0.0,0.0,0.524606,-1.165976,1.165976,-0.524606,False,A_statement_1400ET
FOMC_May,1.5,2.0,timeout,timeout,none,-0.629749,0.629749,0.0,0.0,0.524606,-1.165976,1.165976,-0.524606,False,A_statement_1400ET
FOMC_May,2.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,0.058105,-0.822326,1.082969,-0.524606,False,A_statement_1400ET
FOMC_May,2.0,1.0,sl,timeout,none,-1.0,0.629749,-0.370251,-0.370251,0.058105,-1.082969,1.165976,-0.524606,False,A_statement_1400ET
FOMC_May,2.0,1.5,timeout,timeout,none,-0.629749,0.629749,0.0,0.0,0.524606,-1.165976,1.165976,-0.524606,False,A_statement_1400ET
FOMC_May,2.0,2.0,timeout,timeout,none,-0.629749,0.629749,0.0,0.0,0.524606,-1.165976,1.165976,-0.524606,False,A_statement_1400ET
FOMC_May,3.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,0.058105,-0.822326,1.082969,-0.524606,False,A_statement_1400ET
FOMC_May,3.0,1.0,sl,timeout,none,-1.0,0.629749,-0.370251,-0.370251,0.058105,-1.082969,1.165976,-0.524606,False,A_statement_1400ET
FOMC_May,3.0,1.5,timeout,timeout,none,-0.629749,0.629749,0.0,0.0,0.524606,-1.165976,1.165976,-0.524606,False,A_statement_1400ET
FOMC_May,3.0,2.0,timeout,timeout,none,-0.629749,0.629749,0.0,0.0,0.524606,-1.165976,1.165976,-0.524606,False,A_statement_1400ET
FOMC_Jun,0.5,0.5,tp,sl,long,0.5,-0.5,0.0,0.0,0.545656,-0.003219,0.003219,-0.545656,False,A_statement_1400ET
FOMC_Jun,0.5,1.0,tp,sl,long,0.5,-1.0,-0.5,-0.5,0.545656,-0.003219,0.003219,-1.408808,False,A_statement_1400ET
FOMC_Jun,0.5,1.5,tp,tp,long,0.5,0.5,1.0,1.0,0.545656,-0.003219,0.546461,-1.408808,False,A_statement_1400ET
FOMC_Jun,0.5,2.0,tp,tp,long,0.5,0.5,1.0,1.0,0.545656,-0.003219,0.546461,-1.408808,False,A_statement_1400ET
FOMC_Jun,1.0,0.5,tp,sl,long,1.0,-0.5,0.5,0.5,1.408808,-0.003219,0.003219,-0.545656,False,A_statement_1400ET
FOMC_Jun,1.0,1.0,tp,sl,long,1.0,-1.0,0.0,0.0,1.408808,-0.003219,0.003219,-1.408808,False,A_statement_1400ET
FOMC_Jun,1.0,1.5,tp,timeout,long,1.0,-0.243855,0.756145,0.756145,1.408808,-0.003219,0.606822,-1.408808,False,A_statement_1400ET
FOMC_Jun,1.0,2.0,tp,timeout,long,1.0,-0.243855,0.756145,0.756145,1.408808,-0.003219,0.606822,-1.408808,False,A_statement_1400ET
FOMC_Jun,1.5,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,1.408808,-0.546461,0.003219,-0.545656,False,A_statement_1400ET
FOMC_Jun,1.5,1.0,timeout,sl,none,0.243855,-1.0,-0.756145,-0.756145,1.408808,-0.606822,0.003219,-1.408808,False,A_statement_1400ET
FOMC_Jun,1.5,1.5,timeout,timeout,none,0.243855,-0.243855,0.0,0.0,1.408808,-0.606822,0.606822,-1.408808,False,A_statement_1400ET
FOMC_Jun,1.5,2.0,timeout,timeout,none,0.243855,-0.243855,0.0,0.0,1.408808,-0.606822,0.606822,-1.408808,False,A_statement_1400ET
FOMC_Jun,2.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,1.408808,-0.546461,0.003219,-0.545656,False,A_statement_1400ET
FOMC_Jun,2.0,1.0,timeout,sl,none,0.243855,-1.0,-0.756145,-0.756145,1.408808,-0.606822,0.003219,-1.408808,False,A_statement_1400ET
FOMC_Jun,2.0,1.5,timeout,timeout,none,0.243855,-0.243855,0.0,0.0,1.408808,-0.606822,0.606822,-1.408808,False,A_statement_1400ET
FOMC_Jun,2.0,2.0,timeout,timeout,none,0.243855,-0.243855,0.0,0.0,1.408808,-0.606822,0.606822,-1.408808,False,A_statement_1400ET
FOMC_Jun,3.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,1.408808,-0.546461,0.003219,-0.545656,False,A_statement_1400ET
FOMC_Jun,3.0,1.0,timeout,sl,none,0.243855,-1.0,-0.756145,-0.756145,1.408808,-0.606822,0.003219,-1.408808,False,A_statement_1400ET
FOMC_Jun,3.0,1.5,timeout,timeout,none,0.243855,-0.243855,0.0,0.0,1.408808,-0.606822,0.606822,-1.408808,False,A_statement_1400ET
FOMC_Jun,3.0,2.0,timeout,timeout,none,0.243855,-0.243855,0.0,0.0,1.408808,-0.606822,0.606822,-1.408808,False,A_statement_1400ET
FOMC_Jul,0.5,0.5,tp,sl,long,0.5,-0.5,0.0,0.0,0.550727,0.0,0.0,-0.550727,False,A_statement_1400ET
FOMC_Jul,0.5,1.0,tp,tp,long,0.5,0.5,1.0,1.0,0.550727,0.0,0.511258,-0.550727,False,A_statement_1400ET
FOMC_Jul,0.5,1.5,tp,tp,long,0.5,0.5,1.0,1.0,0.550727,0.0,0.511258,-0.550727,False,A_statement_1400ET
FOMC_Jul,0.5,2.0,tp,tp,long,0.5,0.5,1.0,1.0,0.550727,0.0,0.511258,-0.550727,False,A_statement_1400ET
FOMC_Jul,1.0,0.5,sl,sl,short,-0.5,-0.5,-1.0,-1.0,0.550727,-0.511258,0.0,-0.550727,False,A_statement_1400ET
FOMC_Jul,1.0,1.0,sl,tp,short,-1.0,1.0,0.0,0.0,0.550727,-1.138555,1.138555,-0.550727,False,A_statement_1400ET
FOMC_Jul,1.0,1.5,sl,tp,short,-1.5,1.0,-0.5,-0.5,0.550727,-1.515355,1.138555,-0.550727,False,A_statement_1400ET
FOMC_Jul,1.0,2.0,sl,tp,short,-2.0,1.0,-1.0,-1.0,0.550727,-2.111077,1.138555,-0.550727,False,A_statement_1400ET
FOMC_Jul,1.5,0.5,sl,sl,short,-0.5,-0.5,-1.0,-1.0,0.550727,-0.511258,0.0,-0.550727,False,A_statement_1400ET
FOMC_Jul,1.5,1.0,sl,tp,short,-1.0,1.5,0.5,0.5,0.550727,-1.138555,1.515355,-0.550727,False,A_statement_1400ET
FOMC_Jul,1.5,1.5,sl,tp,short,-1.5,1.5,0.0,0.0,0.550727,-1.515355,1.515355,-0.550727,False,A_statement_1400ET
FOMC_Jul,1.5,2.0,sl,tp,short,-2.0,1.5,-0.5,-0.5,0.550727,-2.111077,1.515355,-0.550727,False,A_statement_1400ET
FOMC_Jul,2.0,0.5,sl,sl,short,-0.5,-0.5,-1.0,-1.0,0.550727,-0.511258,0.0,-0.550727,False,A_statement_1400ET
FOMC_Jul,2.0,1.0,sl,tp,short,-1.0,2.0,1.0,1.0,0.550727,-1.138555,2.111077,-0.550727,False,A_statement_1400ET
FOMC_Jul,2.0,1.5,sl,tp,short,-1.5,2.0,0.5,0.5,0.550727,-1.515355,2.111077,-0.550727,False,A_statement_1400ET
FOMC_Jul,2.0,2.0,sl,tp,short,-2.0,2.0,0.0,0.0,0.550727,-2.111077,2.111077,-0.550727,False,A_statement_1400ET
FOMC_Jul,3.0,0.5,sl,sl,short,-0.5,-0.5,-1.0,-1.0,0.550727,-0.511258,0.0,-0.550727,False,A_statement_1400ET
FOMC_Jul,3.0,1.0,sl,tp,short,-1.0,3.0,2.0,2.0,0.550727,-1.138555,3.007818,-0.550727,False,A_statement_1400ET
FOMC_Jul,3.0,1.5,sl,tp,short,-1.5,3.0,1.5,1.5,0.550727,-1.515355,3.007818,-0.550727,False,A_statement_1400ET
FOMC_Jul,3.0,2.0,sl,tp,short,-2.0,3.0,1.0,1.0,0.550727,-2.111077,3.007818,-0.550727,False,A_statement_1400ET
FOMC_Sep,0.5,0.5,sl,tp,short,-0.5,0.5,0.0,0.0,0.436623,-1.804176,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,0.5,1.0,sl,tp,short,-1.0,0.5,-0.5,-0.5,0.436623,-1.804176,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,0.5,1.5,sl,tp,short,-1.5,0.5,-1.0,-1.0,0.436623,-1.804176,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,0.5,2.0,sl,tp,short,-2.0,0.5,-1.5,-1.5,0.436623,-2.290496,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,1.0,0.5,sl,tp,short,-0.5,1.0,0.5,0.5,0.436623,-1.804176,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,1.0,1.0,sl,tp,short,-1.0,1.0,0.0,0.0,0.436623,-1.804176,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,1.0,1.5,sl,tp,short,-1.5,1.0,-0.5,-0.5,0.436623,-1.804176,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,1.0,2.0,sl,tp,short,-2.0,1.0,-1.0,-1.0,0.436623,-2.290496,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,1.5,0.5,sl,tp,short,-0.5,1.5,1.0,1.0,0.436623,-1.804176,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,1.5,1.0,sl,tp,short,-1.0,1.5,0.5,0.5,0.436623,-1.804176,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,1.5,1.5,sl,tp,short,-1.5,1.5,0.0,0.0,0.436623,-1.804176,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,1.5,2.0,sl,tp,short,-2.0,1.5,-0.5,-0.5,0.436623,-2.290496,1.804176,-0.436623,False,A_statement_1400ET
FOMC_Sep,2.0,0.5,sl,tp,short,-0.5,2.0,1.5,1.5,0.436623,-1.804176,2.290496,-0.436623,False,A_statement_1400ET
FOMC_Sep,2.0,1.0,sl,tp,short,-1.0,2.0,1.0,1.0,0.436623,-1.804176,2.290496,-0.436623,False,A_statement_1400ET
FOMC_Sep,2.0,1.5,sl,tp,short,-1.5,2.0,0.5,0.5,0.436623,-1.804176,2.290496,-0.436623,False,A_statement_1400ET
FOMC_Sep,2.0,2.0,sl,tp,short,-2.0,2.0,0.0,0.0,0.436623,-2.290496,2.290496,-0.436623,False,A_statement_1400ET
FOMC_Sep,3.0,0.5,sl,timeout,none,-0.5,-0.281098,-0.781098,-0.781098,0.436623,-1.804176,2.290496,-0.436623,False,A_statement_1400ET
FOMC_Sep,3.0,1.0,sl,timeout,none,-1.0,-0.281098,-1.281098,-1.281098,0.436623,-1.804176,2.290496,-0.436623,False,A_statement_1400ET
FOMC_Sep,3.0,1.5,sl,timeout,none,-1.5,-0.281098,-1.781098,-1.781098,0.436623,-1.804176,2.290496,-0.436623,False,A_statement_1400ET
FOMC_Sep,3.0,2.0,sl,timeout,none,-2.0,-0.281098,-2.281098,-2.281098,0.436623,-2.290496,2.290496,-0.436623,False,A_statement_1400ET
FOMC_Oct,0.5,0.5,sl,tp,short,-0.5,0.5,0.0,0.0,0.271485,-0.616899,0.616899,-0.271485,False,A_statement_1400ET
FOMC_Oct,0.5,1.0,sl,tp,short,-1.0,0.5,-0.5,-0.5,0.329928,-2.72784,0.616899,-0.271485,False,A_statement_1400ET
FOMC_Oct,0.5,1.5,sl,tp,short,-1.5,0.5,-1.0,-1.0,0.329928,-2.72784,0.616899,-0.271485,False,A_statement_1400ET
FOMC_Oct,0.5,2.0,sl,tp,short,-2.0,0.5,-1.5,-1.5,0.329928,-2.72784,0.616899,-0.271485,False,A_statement_1400ET
FOMC_Oct,1.0,0.5,sl,tp,short,-0.5,1.0,0.5,0.5,0.271485,-0.616899,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,1.0,1.0,sl,tp,short,-1.0,1.0,0.0,0.0,0.329928,-2.72784,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,1.0,1.5,sl,tp,short,-1.5,1.0,-0.5,-0.5,0.329928,-2.72784,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,1.0,2.0,sl,tp,short,-2.0,1.0,-1.0,-1.0,0.329928,-2.72784,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,1.5,0.5,sl,tp,short,-0.5,1.5,1.0,1.0,0.271485,-0.616899,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,1.5,1.0,sl,tp,short,-1.0,1.5,0.5,0.5,0.329928,-2.72784,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,1.5,1.5,sl,tp,short,-1.5,1.5,0.0,0.0,0.329928,-2.72784,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,1.5,2.0,sl,tp,short,-2.0,1.5,-0.5,-0.5,0.329928,-2.72784,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,2.0,0.5,sl,tp,short,-0.5,2.0,1.5,1.5,0.271485,-0.616899,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,2.0,1.0,sl,tp,short,-1.0,2.0,1.0,1.0,0.329928,-2.72784,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,2.0,1.5,sl,tp,short,-1.5,2.0,0.5,0.5,0.329928,-2.72784,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,2.0,2.0,sl,tp,short,-2.0,2.0,0.0,0.0,0.329928,-2.72784,2.72784,-0.329928,False,A_statement_1400ET
FOMC_Oct,3.0,0.5,sl,tp,short,-0.5,3.0,2.5,2.5,0.271485,-0.616899,3.219361,-0.329928,False,A_statement_1400ET
FOMC_Oct,3.0,1.0,sl,tp,short,-1.0,3.0,2.0,2.0,0.329928,-2.72784,3.219361,-0.329928,False,A_statement_1400ET
FOMC_Oct,3.0,1.5,sl,tp,short,-1.5,3.0,1.5,1.5,0.329928,-2.72784,3.219361,-0.329928,False,A_statement_1400ET
FOMC_Oct,3.0,2.0,sl,tp,short,-2.0,3.0,1.0,1.0,0.329928,-2.72784,3.219361,-0.329928,False,A_statement_1400ET
FOMC_Dec,0.5,0.5,sl,tp,short,-0.5,0.5,0.0,0.0,0.021154,-0.660475,0.660475,-0.021154,False,A_statement_1400ET
FOMC_Dec,0.5,1.0,sl,tp,short,-1.0,0.5,-0.5,-0.5,0.021154,-1.15495,0.660475,-0.021154,False,A_statement_1400ET
FOMC_Dec,0.5,1.5,tp,tp,short,0.5,0.5,1.0,1.0,0.979548,-1.272472,0.660475,-0.021154,False,A_statement_1400ET
FOMC_Dec,0.5,2.0,tp,tp,short,0.5,0.5,1.0,1.0,0.979548,-1.272472,0.660475,-0.021154,False,A_statement_1400ET
FOMC_Dec,1.0,0.5,sl,tp,short,-0.5,1.0,0.5,0.5,0.021154,-0.660475,1.15495,-0.021154,False,A_statement_1400ET
FOMC_Dec,1.0,1.0,sl,tp,short,-1.0,1.0,0.0,0.0,0.021154,-1.15495,1.15495,-0.021154,False,A_statement_1400ET
FOMC_Dec,1.0,1.5,sl,tp,short,-1.5,1.0,-0.5,-0.5,0.979548,-1.839517,1.15495,-0.021154,False,A_statement_1400ET
FOMC_Dec,1.0,2.0,tp,tp,short,1.0,1.0,2.0,2.0,1.10089,-1.839517,1.15495,-0.021154,False,A_statement_1400ET
FOMC_Dec,1.5,0.5,sl,sl,short,-0.5,-0.5,-1.0,-1.0,0.021154,-0.660475,1.272472,-0.979548,False,A_statement_1400ET
FOMC_Dec,1.5,1.0,sl,tp,short,-1.0,1.5,0.5,0.5,0.021154,-1.15495,1.839517,-0.979548,False,A_statement_1400ET
FOMC_Dec,1.5,1.5,sl,tp,short,-1.5,1.5,0.0,0.0,0.979548,-1.839517,1.839517,-0.979548,False,A_statement_1400ET
FOMC_Dec,1.5,2.0,timeout,tp,short,-1.492827,1.5,0.007173,0.007173,1.248968,-1.839517,1.839517,-0.979548,False,A_statement_1400ET
FOMC_Dec,2.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,0.021154,-0.660475,1.272472,-0.979548,False,A_statement_1400ET
FOMC_Dec,2.0,1.0,sl,sl,none,-1.0,-1.0,-2.0,-2.0,0.021154,-1.15495,1.839517,-1.10089,False,A_statement_1400ET
FOMC_Dec,2.0,1.5,sl,timeout,none,-1.5,1.492827,-0.007173,-0.007173,0.979548,-1.839517,1.839517,-1.248968,False,A_statement_1400ET
FOMC_Dec,2.0,2.0,timeout,timeout,none,-1.492827,1.492827,0.0,0.0,1.248968,-1.839517,1.839517,-1.248968,False,A_statement_1400ET
FOMC_Dec,3.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,0.021154,-0.660475,1.272472,-0.979548,False,A_statement_1400ET
FOMC_Dec,3.0,1.0,sl,sl,none,-1.0,-1.0,-2.0,-2.0,0.021154,-1.15495,1.839517,-1.10089,False,A_statement_1400ET
FOMC_Dec,3.0,1.5,sl,timeout,none,-1.5,1.492827,-0.007173,-0.007173,0.979548,-1.839517,1.839517,-1.248968,False,A_statement_1400ET
FOMC_Dec,3.0,2.0,timeout,timeout,none,-1.492827,1.492827,0.0,0.0,1.248968,-1.839517,1.839517,-1.248968,False,A_statement_1400ET
